,title
14287,Triple Hot Film Anemometer Measurements Compared to Sonic Anemometer Measurements in CASES-99 [Miller]
14286,GCIP/NESOB-97 Upper Air: NWS High-Resolution (6 second) Soundings
14285,GOES-14 Imager 4 km Channel 2 (near-IR) Data (MciDAS Format)
14284,Brazil Sao Borja Surface Meteorological Data
14283,COMET CASE 024 NCEP's Aviation (AVN) Model.
14282,NOAA/ATDD Audubon Research Ranch (Arizona) Flux Data
14281,Price County Wisconsin / USFS QL2 LiDAR Canopy and Elevation Data
14280,Texas North Plains Potential Evapotranspiration Network Data [NCAR/EOL]
14279,FASTEX soundings from La Coruna (Spain)
14278,"COMET CASE 010 WSR-88D Base Reflectivity (second-lowest tilt angle) from Springfield, MO (SGF)"
